municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
250360 Caiçara,-,-,-,-,-,1,-,-,-,4,-,-
250370 Cajazeiras,1,2,-,3,4,-,2,9,-,10,11,20
250375 Cajazeirinhas,-,2,-,-,-,1,1,-,-,-,-,-
250380 Caldas Brandão,-,-,1,-,1,-,-,-,-,1,-,-
250390 Camalaú,-,-,-,-,-,-,-,-,-,-,-,-
250400 Campina Grande,-,-,-,1,1,-,17,97,60,85,63,25
250403 Capim,-,-,-,-,-,-,-,-,-,-,-,-
250407 Caraúbas,-,-,-,-,-,-,-,-,-,-,2,-
250410 Carrapateira,-,-,-,-,-,-,-,-,-,-,-,-
250415 Casserengue,-,-,-,-,-,-,-,-,1,1,-,-
250420 Catingueira,-,1,-,-,-,-,-,1,-,-,-,-
250430 Catolé do Rocha,-,-,1,2,1,1,1,10,3,4,3,-
250435 Caturité,-,-,-,-,-,-,-,-,2,-,-,-
250440 Conceição,-,1,-,-,-,-,-,-,2,2,-,-
250450 Condado,-,-,-,-,-,-,-,-,1,2,1,-
250460 Conde,-,-,-,-,-,-,-,-,-,19,5,1
250470 Congo,-,-,-,-,-,-,-,-,2,-,-,-
250480 Coremas,-,-,-,-,-,-,-,2,5,4,2,-
250485 Coxixola,-,-,-,-,-,-,-,-,-,-,-,-
250490 Cruz do Espírito Santo,-,-,-,-,-,-,2,3,1,7,1,-
250500 Cubati,-,-,-,-,-,-,-,-,-,-,-,-
250510 Cuité,-,-,-,1,-,1,-,-,2,2,1,-
250523 Cuité de Mamanguape,-,-,-,-,-,-,-,-,-,-,-,-
250520 Cuitegi,-,-,-,-,-,-,-,-,2,-,-,-
250527 Curral de Cima,-,-,-,-,-,-,-,-,4,-,2,-
250530 Curral Velho,-,-,-,-,-,-,-,-,-,-,-,-
250535 Damião,-,-,-,-,-,-,-,-,-,1,3,-
250540 Desterro,-,-,-,-,-,-,-,-,-,-,-,-
250560 Diamante,-,-,-,-,-,-,-,-,-,-,1,1
250570 Dona Inês,-,-,1,-,-,-,-,-,3,1,1,-
250580 Duas Estradas,-,-,-,-,1,-,-,1,-,-,-,-
250590 Emas,-,-,-,-,-,3,-,-,-,-,-,-
250600 Esperança,-,-,1,-,1,4,3,4,6,3,5,-
250610 Fagundes,-,-,-,-,-,-,-,-,-,1,-,-
250620 Frei Martinho,-,-,-,-,-,-,-,-,-,-,-,-
250625 Gado Bravo,-,-,-,-,-,-,-,-,-,2,-,-
250630 Guarabira,-,-,3,12,28,27,9,16,14,7,12,1
250640 Gurinhém,-,-,-,-,-,-,-,-,-,-,-,2
250650 Gurjão,-,-,-,-,-,-,-,1,-,-,-,-
250660 Ibiara,-,-,-,-,-,-,-,-,-,-,-,-
250260 Igaracy,-,-,-,-,-,-,-,-,-,-,-,-
250670 Imaculada,-,-,-,2,4,-,1,3,1,-,1,-
250680 Ingá,-,-,-,1,-,-,-,-,1,-,2,5
250690 Itabaiana,-,3,3,-,1,1,14,14,3,4,2,-
250700 Itaporanga,-,-,-,9,4,9,4,5,14,13,6,4
250710 Itapororoca,-,-,-,-,1,-,-,-,4,2,-,3
250720 Itatuba,-,-,-,-,-,2,1,-,3,4,1,-
250730 Jacaraú,-,-,-,-,-,3,-,2,12,1,2,3
250740 Jericó,-,-,-,-,-,-,-,4,5,2,2,1
250750 João Pessoa,9,67,33,39,2,54,29,550,914,1199,486,247
251365 Joca Claudino,-,-,-,-,-,-,-,-,-,-,-,-
250760 Juarez Távora,-,-,-,-,-,-,-,-,-,-,-,-
250770 Juazeirinho,-,-,-,6,3,2,2,2,-,-,-,-
250780 Junco do Seridó,-,-,-,-,-,-,-,-,-,-,-,2
250790 Juripiranga,-,-,-,-,-,-,-,-,-,-,-,-
250800 Juru,-,-,-,-,1,-,5,-,1,1,1,-
250810 Lagoa,-,-,-,-,-,-,-,-,-,-,-,-
250820 Lagoa de Dentro,-,-,-,-,-,-,-,4,-,-,-,-
250830 Lagoa Seca,-,-,-,2,-,1,1,-,1,2,3,-
250840 Lastro,-,-,-,-,-,-,-,-,-,-,1,-
250850 Livramento,-,-,1,-,-,-,-,3,2,1,-,-
250855 Logradouro,-,-,-,-,-,-,-,1,1,3,-,-
250860 Lucena,-,-,-,6,9,7,1,8,4,5,5,3
250870 Mãe d'Água,-,-,-,-,-,-,1,-,-,1,-,-
250880 Malta,-,-,-,-,-,-,-,4,6,5,-,1
250890 Mamanguape,-,-,-,-,-,-,-,15,16,12,14,8
250900 Manaíra,-,-,-,-,-,1,1,2,6,-,1,-
250905 Marcação,-,-,-,-,-,-,-,1,4,-,2,-
250910 Mari,-,-,-,-,-,-,-,-,-,-,2,-
250915 Marizópolis,-,-,1,-,-,-,-,-,5,-,-,-
250920 Massaranduba,-,-,-,-,-,2,-,-,-,-,-,-
250930 Mataraca,-,-,1,-,-,1,-,3,2,2,-,-
250933 Matinhas,-,-,-,-,-,-,-,-,-,-,-,-
250937 Mato Grosso,-,-,-,2,-,-,-,-,-,-,-,-
250939 Maturéia,-,-,-,-,-,-,-,3,3,3,1,-
250940 Mogeiro,-,-,-,-,-,-,-,-,-,2,-,-
250950 Montadas,-,-,-,-,-,-,-,-,-,-,3,-
250960 Monte Horebe,-,-,-,-,-,-,-,1,-,-,-,-
250970 Monteiro,-,-,-,-,-,-,-,5,20,28,14,5
250980 Mulungu,-,3,-,2,-,-,-,-,-,2,2,-
250990 Natuba,-,-,-,-,-,-,-,-,-,-,-,-
251000 Nazarezinho,-,-,-,-,-,-,-,-,-,3,1,-
251010 Nova Floresta,-,-,-,-,-,-,-,-,4,1,2,-
251020 Nova Olinda,-,-,-,-,-,-,-,1,1,-,-,1
251030 Nova Palmeira,-,-,-,-,-,-,-,-,-,-,2,-
251040 Olho d'Água,-,-,-,-,-,-,-,-,1,-,1,-
251050 Olivedos,-,-,-,-,-,-,-,-,-,-,-,-
251060 Ouro Velho,-,-,-,-,-,-,-,-,1,2,-,-
251065 Parari,-,-,-,-,-,-,-,-,-,-,-,-
251070 Passagem,-,-,-,-,-,-,-,-,-,-,-,-
251080 Patos,-,16,65,11,3,3,-,9,5,17,4,1
251090 Paulista,-,-,-,-,-,-,-,1,1,-,-,-
251100 Pedra Branca,-,-,-,-,-,-,-,-,-,1,-,-
251110 Pedra Lavrada,-,-,-,-,-,-,-,-,-,-,-,-
251120 Pedras de Fogo,-,-,-,-,-,-,-,-,-,-,2,-
251272 Pedro Régis,-,-,-,-,-,-,-,-,-,-,-,-
251130 Piancó,-,-,-,-,-,-,-,2,9,3,2,1
251140 Picuí,-,-,-,3,3,5,-,7,7,11,5,1
251150 Pilar,-,-,-,-,-,-,-,2,7,7,5,3
251160 Pilões,-,-,-,-,-,-,-,4,1,-,-,-
251170 Pilõezinhos,-,-,-,-,-,-,-,-,-,-,-,-
251180 Pirpirituba,-,1,-,2,1,-,-,-,1,2,-,-
251190 Pitimbu,-,-,-,-,-,-,-,-,-,-,-,-
251200 Pocinhos,-,-,-,-,-,-,1,1,3,3,-,1
251203 Poço Dantas,-,-,-,-,-,-,-,-,-,-,-,-
251207 Poço de José de Moura,-,-,-,-,-,-,-,-,-,-,-,-
251210 Pombal,-,1,-,-,3,4,1,10,1,-,7,2
251220 Prata,-,-,-,-,-,-,-,-,-,-,2,1
251230 Princesa Isabel,-,-,-,1,-,-,-,1,4,3,2,1
251240 Puxinanã,-,-,-,1,-,-,-,-,2,-,-,1
251250 Queimadas,-,-,-,-,-,1,5,18,17,15,3,2
251260 Quixabá,-,-,-,-,-,-,-,-,1,-,-,-
251270 Remígio,-,-,-,-,-,-,-,-,-,4,-,-
251274 Riachão,-,-,-,-,-,-,-,-,-,-,2,-
251275 Riachão do Bacamarte,-,-,-,-,-,-,-,-,-,-,1,-
251276 Riachão do Poço,-,-,-,-,-,-,-,-,-,-,-,-
251278 Riacho de Santo Antônio,-,-,-,3,2,-,7,1,-,1,-,-
251280 Riacho dos Cavalos,-,-,-,-,-,-,-,-,-,-,1,-
251290 Rio Tinto,-,-,-,-,-,-,-,-,3,14,2,-
251300 Salgadinho,-,-,-,-,-,-,-,-,-,-,-,-
251310 Salgado de São Félix,-,-,-,-,-,-,-,-,-,-,-,-
251315 Santa Cecília,-,-,-,-,1,1,-,-,-,-,-,-
251320 Santa Cruz,-,-,-,-,-,-,-,-,-,-,-,-
251330 Santa Helena,-,-,-,-,-,-,-,-,-,1,-,-
251335 Santa Inês,-,-,-,-,-,-,-,-,-,-,-,-
251340 Santa Luzia,-,-,-,-,-,-,1,1,-,5,2,3
251370 Santa Rita,-,-,-,-,-,6,9,26,78,52,51,22
251380 Santa Teresinha,-,-,-,-,-,2,-,-,1,-,-,-
251350 Santana de Mangueira,-,-,-,-,-,-,-,1,1,-,-,-
251360 Santana dos Garrotes,-,-,-,-,-,-,5,-,-,-,-,1
251385 Santo André,-,-,-,-,-,1,-,1,2,4,-,-
251392 São Bentinho,-,-,-,2,4,-,-,-,2,1,-,-
251390 São Bento,-,8,3,-,4,2,2,6,5,3,3,6
251396 São Domingos,-,-,-,1,-,-,-,-,-,2,-,-
251394 São Domingos do Cariri,-,-,-,-,-,-,-,-,-,1,-,1
251398 São Francisco,-,-,-,-,-,-,-,-,-,-,-,-
251400 São João do Cariri,-,-,-,-,-,1,-,-,-,-,3,-
250070 São João do Rio do Peixe,-,-,-,-,-,-,-,-,-,-,-,-
251410 São João do Tigre,-,-,-,-,-,-,-,-,-,-,-,1
251420 São José da Lagoa Tapada,-,-,-,-,-,-,-,-,-,-,-,-
251430 São José de Caiana,-,-,-,-,-,-,-,-,-,-,-,-
251440 São José de Espinharas,-,-,-,-,-,-,-,-,2,-,-,-
251450 São José de Piranhas,-,-,-,-,-,-,-,1,2,2,1,2
251455 São José de Princesa,-,-,-,-,-,-,-,-,-,-,-,-
251460 São José do Bonfim,-,-,-,-,-,-,-,-,-,-,-,-
251465 São José do Brejo do Cruz,-,-,-,-,-,1,-,-,-,-,-,-
251470 São José do Sabugi,-,-,-,-,-,-,-,-,-,-,-,-
251480 São José dos Cordeiros,-,-,-,-,-,-,-,-,-,1,-,-
251445 São José dos Ramos,-,-,-,-,-,-,-,-,-,-,-,1
251490 São Mamede,-,-,-,-,-,-,-,3,-,2,-,-
251500 São Miguel de Taipu,-,-,-,-,-,-,-,-,-,-,-,-
251510 São Sebastião de Lagoa de Roça,-,-,-,1,-,3,-,-,1,-,-,-
251520 São Sebastião do Umbuzeiro,-,-,-,-,-,-,-,-,-,-,-,-
251540 São Vicente do Seridó,-,-,-,-,-,-,-,3,2,-,-,-
251530 Sapé,-,-,-,-,-,-,-,-,1,-,-,-
251550 Serra Branca,-,-,-,-,-,-,-,-,-,-,-,-
251560 Serra da Raiz,-,-,-,-,-,1,2,1,2,5,-,-
251570 Serra Grande,-,-,-,-,-,2,1,-,1,-,-,-
251580 Serra Redonda,-,-,-,-,-,-,-,-,-,1,-,-
251590 Serraria,-,-,-,-,-,-,-,-,-,-,-,-
251593 Sertãozinho,-,-,-,-,-,-,-,-,1,-,-,1
251597 Sobrado,-,-,-,-,-,-,-,-,-,-,-,-
251600 Solânea,-,-,-,-,-,-,-,-,-,-,-,-
251610 Soledade,-,-,-,-,-,-,-,-,-,3,-,-
251615 Sossêgo,-,-,-,-,-,1,-,-,1,-,-,-
251620 Sousa,-,-,-,-,-,-,-,-,11,5,2,-
251630 Sumé,-,-,-,-,-,-,-,-,3,1,-,-
251640 Tacima,-,-,-,-,-,-,-,-,-,2,-,1
251650 Taperoá,-,-,-,-,-,-,-,-,-,-,1,1
251660 Tavares,-,-,1,-,-,-,1,1,-,1,-,-
251670 Teixeira,-,-,1,-,-,1,-,1,5,6,1,1
251675 Tenório,-,-,-,-,-,-,-,-,-,1,-,-
251680 Triunfo,-,-,-,-,-,-,-,-,-,-,2,-
251690 Uiraúna,-,-,-,-,-,-,1,-,1,-,1,-
251700 Umbuzeiro,-,-,-,-,-,-,-,3,1,4,3,-
251710 Várzea,-,-,-,-,-,-,-,-,2,-,-,-
251720 Vieirópolis,-,-,-,-,-,-,-,-,-,-,-,-
250550 Vista Serrana,-,-,-,-,-,-,-,-,-,-,-,1
251740 Zabelê,-,-,-,-,-,-,-,-,-,-,-,-
250000 Município ignorado - PB,-,-,-,-,-,-,-,-,-,-,-,-
260005 Abreu e Lima,-,-,-,14,7,15,36,217,358,167,155,185
260010 Afogados da Ingazeira,-,-,2,1,23,15,24,27,22,9,3,4
260020 Afrânio,-,-,-,-,-,1,-,-,-,1,-,-
260030 Agrestina,-,-,-,-,-,-,-,-,3,12,1,-
260040 Água Preta,-,-,-,-,-,-,-,-,1,10,3,1
260050 Águas Belas,-,-,1,6,6,9,6,29,77,54,27,15
260060 Alagoinha,-,-,-,-,-,2,1,-,1,-,1,-
260070 Aliança,-,-,-,-,-,-,-,4,14,2,1,1
260080 Altinho,-,-,-,-,-,-,1,2,13,17,15,6
260090 Amaraji,-,-,-,-,-,-,-,2,9,11,5,-
260100 Angelim,-,-,-,-,-,-,-,-,-,-,-,-
260105 Araçoiaba,-,-,-,-,3,-,-,1,5,8,1,5
260110 Araripina,-,-,-,-,-,-,-,2,40,41,29,22
260120 Arcoverde,-,-,3,5,6,96,101,143,151,131,25,74
260130 Barra de Guabiraba,-,-,-,-,-,-,-,1,6,6,6,-
260140 Barreiros,-,-,-,-,1,1,1,-,6,3,5,1
260150 Belém de Maria,-,-,-,-,-,-,-,2,10,-,-,-
260160 Belém do São Francisco,-,-,-,-,-,-,-,-,11,19,5,-
260170 Belo Jardim,-,-,-,-,-,-,-,10,11,19,5,20
260180 Betânia,-,-,-,-,-,-,-,2,13,8,-,-
260190 Bezerros,-,-,-,-,-,2,6,1,2,4,13,2
260200 Bodocó,-,-,-,-,-,-,-,1,10,1,1,4
260210 Bom Conselho,-,-,1,-,-,-,-,11,20,10,1,-
260220 Bom Jardim,-,-,-,-,-,-,-,1,1,2,-,1
260230 Bonito,-,-,-,-,2,3,2,1,2,-,-,-
260240 Brejão,-,-,-,-,-,-,-,-,-,2,-,-
260250 Brejinho,-,-,-,-,-,-,-,-,-,-,-,-
260260 Brejo da Madre de Deus,-,-,1,1,3,8,2,1,1,4,3,1
260270 Buenos Aires,-,-,-,-,-,-,1,1,6,2,-,-
260280 Buíque,-,1,6,-,3,1,21,23,45,20,11,2
260290 Cabo de Santo Agostinho,-,2,-,1,5,35,2,85,94,810,164,162
260300 Cabrobó,-,-,-,-,-,-,-,-,-,7,17,8
260310 Cachoeirinha,-,-,-,-,-,-,1,1,1,-,2,-
260320 Caetés,-,-,-,-,-,-,-,-,3,-,1,-
260330 Calçado,-,-,-,-,-,-,4,-,1,-,-,-
260340 Calumbi,-,-,-,-,-,-,-,-,2,-,-,-
260345 Camaragibe,-,-,-,-,4,12,174,45,62,123,163,71
260350 Camocim de São Félix,-,-,-,-,-,-,-,-,4,1,3,-
260360 Camutanga,-,-,-,-,-,2,3,-,-,5,1,-
260370 Canhotinho,-,-,-,-,-,2,2,-,5,2,17,-
260380 Capoeiras,-,-,-,-,-,-,-,1,-,-,1,-
260390 Carnaíba,-,-,-,-,-,-,-,-,1,2,-,1
260392 Carnaubeira da Penha,-,-,-,-,-,2,-,-,8,8,5,5
260400 Carpina,-,2,3,49,19,44,96,117,99,41,32,2
260410 Caruaru,-,-,-,25,26,1,-,2,171,287,256,169
260415 Casinhas,-,-,-,-,-,2,-,3,2,2,2,1
260420 Catende,-,-,-,-,-,-,-,-,1,-,-,-
260430 Cedro,-,-,-,-,-,-,-,-,1,4,1,2
260440 Chã de Alegria,-,-,-,-,-,-,-,2,6,11,11,5
260450 Chã Grande,1,2,1,7,9,6,4,14,39,17,4,-
260460 Condado,-,-,-,-,1,5,1,15,21,23,15,6
260470 Correntes,-,-,-,-,-,-,-,-,-,-,-,-
260480 Cortês,-,-,-,-,-,-,-,-,-,1,-,3
260490 Cumaru,-,-,-,-,1,3,2,-,-,-,7,1
260500 Cupira,-,-,-,-,-,-,-,1,2,2,4,2
260510 Custódia,-,-,-,1,4,1,-,1,12,4,2,2
260515 Dormentes,-,1,-,-,-,-,-,5,-,1,1,1
260520 Escada,-,-,-,-,-,-,-,2,68,22,21,18
260530 Exu,-,-,-,1,-,-,1,1,2,12,11,1
260540 Feira Nova,-,-,-,-,-,-,-,4,13,6,1,1
260545 Fernando de Noronha,-,-,-,-,-,2,-,5,8,17,7,13
260550 Ferreiros,-,-,-,-,-,-,1,2,1,-,-,1
260560 Flores,-,-,-,-,-,-,-,-,1,-,1,-
260570 Floresta,-,-,-,2,1,1,-,-,19,5,4,6
260580 Frei Miguelinho,-,-,-,-,-,-,-,-,-,-,-,-
260590 Gameleira,-,-,-,1,-,2,8,3,9,9,6,2
260600 Garanhuns,-,-,-,1,-,7,-,60,78,60,10,12
260610 Glória do Goitá,-,-,-,-,-,-,-,-,-,8,2,1
260620 Goiana,-,-,2,6,3,90,165,90,150,138,69,24
260630 Granito,-,-,-,-,-,-,-,-,-,1,-,-
260640 Gravatá,-,1,-,-,1,41,86,35,52,164,28,17
260650 Iati,-,-,-,-,-,-,1,-,1,2,2,1
260660 Ibimirim,-,-,-,-,-,-,-,-,3,7,2,-
260670 Ibirajuba,-,-,-,-,-,3,-,-,-,-,-,1
260680 Igarassu,-,-,2,-,-,-,-,48,335,170,108,107
260690 Iguaracy,-,-,-,-,-,-,-,-,-,1,-,-
260760 Ilha de Itamaracá,-,-,-,-,-,8,41,83,87,53,36,25
260700 Inajá,-,-,-,-,-,-,-,1,3,9,7,3
260710 Ingazeira,-,-,-,-,-,-,-,-,6,1,-,-
260720 Ipojuca,1,82,153,56,46,100,149,97,173,126,52,29
260730 Ipubi,-,-,1,-,-,-,-,-,3,-,-,-
260740 Itacuruba,-,-,-,-,-,20,-,1,11,5,1,-
260750 Itaíba,-,-,-,-,-,-,-,-,4,1,5,1
260765 Itambé,-,-,-,-,1,11,26,-,6,13,7,2
260770 Itapetim,-,-,-,-,-,-,-,-,-,-,1,1
260775 Itapissuma,-,-,-,-,-,-,4,9,12,10,1,12
260780 Itaquitinga,-,-,1,-,-,1,-,-,6,5,7,4
260790 Jaboatão dos Guararapes,-,32,-,15,64,186,617,455,406,464,246,187
260795 Jaqueira,-,-,-,-,-,-,2,-,1,-,2,-
260800 Jataúba,-,-,-,-,-,-,-,-,-,-,-,7
260805 Jatobá,-,2,-,1,-,1,8,12,37,12,1,-
260810 João Alfredo,-,-,-,-,2,-,-,1,1,11,8,-
260820 Joaquim Nabuco,-,-,-,-,-,-,-,-,1,-,-,-
260825 Jucati,-,-,-,-,-,-,-,1,-,1,-,-
260830 Jupi,-,-,-,-,-,-,-,-,3,-,-,-
260840 Jurema,-,-,-,-,-,-,-,-,-,-,-,-
260850 Lagoa de Itaenga,-,-,-,6,26,28,20,2,19,4,2,1
260845 Lagoa do Carro,-,-,-,-,-,-,-,4,18,8,5,1
260860 Lagoa do Ouro,-,-,-,-,-,-,1,3,4,4,2,2
260870 Lagoa dos Gatos,-,-,-,-,-,-,-,-,-,-,-,-
260875 Lagoa Grande,-,-,-,-,-,-,-,15,9,3,1,-
260880 Lajedo,-,-,-,-,-,1,-,-,6,5,1,-
260890 Limoeiro,-,-,5,1,-,1,26,43,44,45,33,16
260900 Macaparana,-,-,-,-,-,-,1,3,-,2,2,-
260910 Machados,-,-,-,-,-,1,3,6,3,1,4,-
260915 Manari,-,-,-,-,-,-,-,-,4,4,2,1
260920 Maraial,-,-,-,-,-,-,-,-,-,-,-,-
260930 Mirandiba,-,-,-,-,-,-,-,-,4,1,-,-
261430 Moreilândia,-,-,-,-,-,-,-,-,2,-,-,-
260940 Moreno,-,-,-,-,-,4,1,36,68,37,4,6
260950 Nazaré da Mata,-,2,2,1,-,-,-,1,1,2,-,-
260960 Olinda,-,16,4,-,-,-,122,59,231,272,162,39
260970 Orobó,-,-,-,-,-,1,1,1,3,4,1,-
260980 Orocó,-,1,-,-,-,-,2,2,7,6,5,2
260990 Ouricuri,-,-,-,-,-,2,-,46,46,31,11,12
261000 Palmares,-,1,-,-,1,3,3,10,64,48,26,29
261010 Palmeirina,-,-,-,-,-,-,-,2,1,-,-,-
261020 Panelas,-,-,-,-,-,-,-,-,-,2,1,-
261030 Paranatama,-,2,-,-,-,-,-,-,-,5,-,-
261040 Parnamirim,-,-,-,-,1,2,3,5,5,-,4,-
261050 Passira,-,-,-,-,1,3,3,8,20,21,8,1
261060 Paudalho,-,-,-,-,-,-,-,17,32,54,43,31
261070 Paulista,-,-,1,-,-,-,1,10,75,149,94,41
261080 Pedra,-,-,-,-,-,-,-,2,19,13,3,2
261090 Pesqueira,-,-,2,2,-,-,-,31,33,36,31,20
261100 Petrolândia,-,-,-,-,2,1,1,12,17,2,-,2
261110 Petrolina,-,7,-,-,1,-,1,23,195,167,161,90
261120 Poção,-,-,-,-,-,1,-,-,2,1,-,1
261130 Pombos,-,-,-,-,-,-,-,-,1,5,3,3
261140 Primavera,-,-,-,-,-,-,-,-,-,-,-,-
261150 Quipapá,-,-,-,-,-,2,1,-,2,-,1,1
261153 Quixaba,-,-,-,-,-,-,-,-,-,2,-,-
261160 Recife,2,207,199,135,102,209,286,405,2609,3035,1685,1236
261170 Riacho das Almas,-,-,-,-,-,-,-,-,1,-,-,-
261180 Ribeirão,-,-,-,-,-,-,-,1,-,-,1,1
261190 Rio Formoso,-,-,-,-,-,-,-,-,-,1,1,-
261200 Sairé,-,-,-,-,-,-,-,-,-,-,-,-
261210 Salgadinho,-,-,-,-,-,-,-,-,1,2,1,-
261220 Salgueiro,-,2,5,3,15,7,50,40,55,49,44,36
261230 Saloá,-,-,-,-,-,-,1,2,2,3,-,-
261240 Sanharó,-,-,-,-,-,-,-,1,2,2,5,3
261245 Santa Cruz,-,-,-,-,-,-,-,-,-,-,-,2
261247 Santa Cruz da Baixa Verde,-,-,-,-,-,-,-,-,-,-,-,-
261250 Santa Cruz do Capibaribe,-,-,-,-,-,28,18,65,67,194,138,83
261255 Santa Filomena,-,-,-,-,-,-,-,-,1,1,-,-
261260 Santa Maria da Boa Vista,-,-,-,-,-,-,1,-,8,2,8,4
261270 Santa Maria do Cambucá,-,-,-,-,-,-,-,-,-,-,-,-
261280 Santa Terezinha,-,-,1,3,2,-,-,-,2,2,1,2
261290 São Benedito do Sul,-,-,-,-,-,-,-,-,-,-,-,-
261300 São Bento do Una,-,-,-,1,2,2,1,1,4,5,8,5
261310 São Caitano,-,-,-,1,-,-,-,-,-,5,3,-
261320 São João,-,-,1,-,-,-,-,1,5,4,1,5
261330 São Joaquim do Monte,-,-,-,-,-,-,-,-,-,2,4,-
261340 São José da Coroa Grande,-,-,-,-,-,-,4,1,1,-,1,-
261350 São José do Belmonte,-,2,1,-,-,1,-,3,2,4,1,-
261360 São José do Egito,-,-,-,-,-,-,-,-,-,1,2,2
261370 São Lourenço da Mata,-,-,-,-,1,-,-,50,153,109,67,12
261380 São Vicente Ferrer,-,-,-,-,-,3,1,-,1,1,-,-
261390 Serra Talhada,-,2,-,-,3,43,40,96,220,88,43,23
261400 Serrita,-,-,-,-,-,-,-,1,5,2,2,3
261410 Sertânia,-,-,-,-,1,1,-,-,2,1,2,1
261420 Sirinhaém,-,-,-,-,-,-,-,-,-,4,9,4
261440 Solidão,-,-,-,-,-,-,-,-,-,-,2,-
261450 Surubim,-,3,-,-,2,-,-,6,26,21,4,1
261460 Tabira,1,-,-,3,-,-,-,-,-,-,-,-
261470 Tacaimbó,-,-,-,1,-,-,-,-,-,8,26,4
261480 Tacaratu,-,-,-,-,1,-,5,7,14,4,1,-
261485 Tamandaré,-,-,-,-,-,-,-,2,4,5,5,2
261500 Taquaritinga do Norte,-,-,-,-,2,-,-,3,4,4,6,3
261510 Terezinha,-,-,-,-,-,-,-,-,2,6,1,-
261520 Terra Nova,-,-,-,-,-,-,-,2,-,1,2,2
261530 Timbaúba,-,-,-,-,-,-,2,7,88,82,36,17
261540 Toritama,-,-,-,-,-,-,-,2,2,20,3,1
261550 Tracunhaém,-,-,-,-,-,-,4,2,-,4,-,2
261560 Trindade,-,-,-,-,-,-,-,4,26,12,2,7
261570 Triunfo,-,-,-,-,-,-,-,-,-,-,1,-
261580 Tupanatinga,-,-,-,2,-,-,1,-,10,7,5,2
261590 Tuparetama,-,-,-,-,-,-,-,-,-,-,-,-
261600 Venturosa,-,-,-,-,-,-,8,6,14,3,-,-
261610 Verdejante,-,-,-,-,-,-,2,-,2,1,-,-
261618 Vertente do Lério,-,-,-,-,-,-,-,-,1,1,2,1
261620 Vertentes,-,-,-,-,-,-,-,-,2,-,1,2
261630 Vicência,-,-,-,-,-,-,-,5,16,8,6,6
261640 Vitória de Santo Antão,-,-,1,-,61,135,217,301,212,186,57,53
261650 Xexéu,-,-,-,-,-,-,-,-,-,3,-,-
260000 Município ignorado - PE,-,-,-,-,-,-,-,-,-,-,-,-
270010 Água Branca,-,-,-,-,-,-,-,-,-,-,1,1
270020 Anadia,-,-,-,-,4,-,1,-,1,-,1,-
270030 Arapiraca,1,-,12,-,2,1,25,1,1,2,6,3
270040 Atalaia,-,-,-,6,1,1,1,83,47,26,25,19
270050 Barra de Santo Antônio,-,-,-,-,1,-,-,10,18,2,2,-
270060 Barra de São Miguel,-,-,-,-,-,-,-,-,-,-,-,-
270070 Batalha,-,-,-,3,1,1,-,4,4,10,5,1
270080 Belém,-,-,-,-,-,-,-,1,1,3,-,-
270090 Belo Monte,-,-,-,1,-,-,-,1,-,-,-,-
270100 Boca da Mata,-,-,-,-,-,-,-,-,-,2,-,-
270110 Branquinha,-,-,-,-,-,-,-,-,-,-,-,-
270120 Cacimbinhas,-,-,-,-,-,-,-,-,-,-,-,-
270130 Cajueiro,-,-,-,-,-,-,-,1,5,-,-,-
270135 Campestre,-,1,2,-,2,6,2,6,4,10,4,1
270140 Campo Alegre,-,1,-,-,-,1,-,-,-,-,1,-
270150 Campo Grande,-,-,-,-,-,-,-,-,-,-,-,-
270160 Canapi,-,-,-,-,-,-,-,-,-,3,2,-
270170 Capela,-,-,-,-,-,3,-,1,26,24,15,2
270180 Carneiros,-,-,-,-,-,-,1,6,18,5,1,-
270190 Chã Preta,-,-,-,-,-,-,-,-,1,1,1,2
270200 Coité do Nóia,-,-,-,-,-,-,4,5,6,6,2,-
270210 Colônia Leopoldina,-,-,-,2,-,1,-,6,3,20,-,3
270220 Coqueiro Seco,-,-,-,-,-,-,-,7,13,8,2,1
270230 Coruripe,-,-,1,2,10,2,4,7,10,8,7,8
270235 Craíbas,-,-,-,-,-,-,-,-,2,-,-,-
270240 Delmiro Gouveia,-,-,-,1,-,-,10,1,3,-,1,-
270250 Dois Riachos,-,-,-,-,-,-,-,-,1,2,-,1
270255 Estrela de Alagoas,-,-,-,-,-,-,-,1,-,-,-,-
270260 Feira Grande,-,-,-,-,-,-,-,-,-,-,-,-
270270 Feliz Deserto,-,-,-,-,-,-,-,-,3,1,-,-
270280 Flexeiras,-,-,-,-,-,-,1,3,14,9,5,-
270290 Girau do Ponciano,-,1,-,1,1,-,4,11,3,13,-,-
270300 Ibateguara,-,-,-,-,-,-,-,1,-,-,-,-
270310 Igaci,-,-,-,-,-,-,1,1,3,-,1,-
270320 Igreja Nova,-,-,-,-,-,1,-,3,9,2,2,1
270330 Inhapi,-,-,-,-,-,1,-,-,-,1,-,-
270340 Jacaré dos Homens,-,-,-,-,2,-,1,-,6,5,-,-
270350 Jacuípe,-,-,-,-,-,-,-,1,1,-,-,-
270360 Japaratinga,-,-,-,-,-,-,-,1,4,4,1,-
270370 Jaramataia,-,-,-,-,-,-,-,-,-,-,1,-
270375 Jequiá da Praia,-,-,-,-,-,1,-,1,1,1,-,-
270380 Joaquim Gomes,-,-,-,-,-,-,3,-,5,5,3,4
